event-name,event-link,event-logo,event-start-date,event-end-date,event-mode,event-location
Suns Out Hacks Out,https://hackp.ac/SunsOutHacksOut,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/320/thumb/suns-out-hacks-out_mlh-event-title.png?1594210822,2020-08-29,2020-08-30,DIGITAL,"Everywhere, Worldwide"
First Day Back Hacks,https://hackp.ac/FirstDayBackHacks,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/093/thumb/first-day-back-hacks_mlh-event-title.png?1598451588,2020-09-04,2020-09-06,DIGITAL,"Everywhere, Worldwide"
MedHacks,https://medhacks.io/2020/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/002/843/thumb/MedHacks_logo.png?1593546499,2020-09-04,2020-09-06,DIGITAL,"Everywhere, Worldwide"
Delhi Hacks,https://delhihacks.xyz/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/910/thumb/DELHI_1_.png?1597431011,2020-09-05,2020-09-06,DIGITAL,"Everywhere, Worldwide"
Hack Kosice,https://hackkosice.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/101/thumb/event_logo_%281%29.jpg?1598880578,2020-09-05,2020-09-06,DIGITAL,"Everywhere, Online"
Bon Hackétit,https://hackp.ac/BonHacketit,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/094/thumb/bon-hack%C3%A9tit_mlh-event-title.png?1598451577,2020-09-11,2020-09-13,DIGITAL,"Everywhere, Worldwide"
HopHacks,https://hophacks.com,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/386/thumb/Hophacks_logo_clean_%282%29.png?1599254311,2020-09-11,2020-09-13,DIGITAL,"Everywhere, Worldwide"
Aye Aye Hackers,https://hackp.ac/AyeAyeHackers,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/095/thumb/aye-aye-hackers_mlh-event-title.png?1598451565,2020-09-18,2020-09-20,DIGITAL,"Everywhere, Worldwide"
GrizzHacks,https://grizzhacks.com/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/004/098/thumb/GH5_Full_Logo.png?1598560845,2020-09-18,2020-09-20,DIGITAL,"Everywhere, Worldwide"
HackRice,https://hack.rice.edu,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/005/019/thumb/header.png?1600116273,2020-09-18,2020-09-20,DIGITAL,"Everywhere, Worldwide"
Silly Hacks,https://sillyhacks.online/,https://s3.amazonaws.com/assets.mlh.io/events/logos/000/003/326/thumb/dp.png?1595530067,2020-09-18,2020-09-20,DIGITAL,"Everywhere, Worldwide"
